Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
Estonia,2022,8.11,,12.39,196.13,1.35,0.0,11.41,7.36,10.81,27.26,602.72,252.37
Estonia,2023,1.83,,5.2,,1.32,0.0,13.98,5.64,17.2,31.19,710.09,241.38
Finland,2014,,190.98,,,2.05,0.02,18.51,30.95,33.31,51.82,2521.71,399.56
Finland,2015,,183.69,,,2.12,0.02,19.06,28.29,31.6,50.66,2430.26,428.25
Finland,2016,0.46,157.25,66.83,816.21,1.75,0.05,21.14,30.43,36.96,58.1,2309.58,457.8
Finland,2017,0.31,141.86,64.78,641.8,1.34,0.04,22.62,29.8,32.87,55.49,2201.92,502.23
Finland,2018,0.49,142.46,69.76,647.53,1.72,0.07,25.27,30.84,38.89,64.16,2143.85,529.21
Finland,2019,0.24,135.94,71.77,730.24,1.5,0.02,27.38,32.71,45.27,72.65,2224.23,586.14
Finland,2020,4.83,140.99,73.14,853.02,1.72,0.05,27.47,36.11,46.04,73.52,2440.25,671.89
Finland,2021,0.42,114.66,66.86,857.89,1.7,0.04,35.65,34.19,54.99,90.64,2242.66,510.97
Finland,2022,0.4,104.72,66.18,971.77,1.5,0.04,32.86,41.98,59.21,92.07,2249.83,454.31
Finland,2023,0.2,102.91,73.36,,1.15,0.07,42.76,48.99,66.93,109.69,2277.55,481.38
France,2014,,574.98,,,1.16,4.48,18.44,173.02,28.51,46.95,2167.66,10.46
France,2015,,570.41,,,1.32,5.74,19.28,156.59,30.78,50.06,2101.67,11.25
France,2016,0.29,549.95,3.01,296.71,1.17,5.72,22.52,158.52,31.7,53.22,2197.79,362.98
France,2017,0.31,547.42,2.94,260.3,1.06,,24.35,149.4,35.05,59.41,2181.31,339.98
France,2018,0.34,506.27,3.52,269.16,1.04,,28.58,137.99,42.89,71.63,2132.88,368.68
France,2019,0.34,497.96,3.57,306.16,1.12,,34.05,133.92,48.16,82.2,2143.76,364.16
France,2020,0.3,415.09,3.41,342.92,1.03,,37.95,110.2,45.69,83.55,1740.27,322.88
France,2021,0.39,398.23,4.05,399.83,1.08,,50.13,104.21,59.53,109.62,1784.05,427.7
France,2022,0.35,436.44,3.69,382.33,1.21,,55.98,100.19,66.43,122.71,1994.5,488.82
